prime,resonance,mod12,gap,nearest_target,distance
2711,0.000000,11,2,2401,310.0
2713,0.000000,1,6,2401,312.0
2719,0.000000,7,10,2401,318.0
2729,0.000000,5,2,2401,328.0
2731,0.000000,7,10,2401,330.0
2741,0.000000,5,8,2401,340.0
2749,0.000000,1,4,2401,348.0
2753,0.000000,5,14,2401,352.0
2767,0.000000,7,10,3125,358.0
2777,0.000000,5,12,3125,348.0
2789,0.000000,5,2,3125,336.0
2791,0.000000,7,6,3125,334.0
2797,0.000000,1,4,3125,328.0
2801,0.000000,5,2,3125,324.0
2803,0.000000,7,16,3125,322.0
2819,0.000000,11,14,3125,306.0
2833,0.000000,1,4,3125,292.0
2837,0.000000,5,6,3125,288.0
2843,0.000000,11,8,3125,282.0
2851,0.000000,7,6,3125,274.0
2857,0.000000,1,4,3125,268.0
2861,0.000000,5,18,3125,264.0
2879,0.000000,11,8,3125,246.0
2887,0.000000,7,10,3125,238.0
2897,0.000000,5,6,3125,228.0
2903,0.000000,11,6,3125,222.0
2909,0.000000,5,8,3125,216.0
2917,0.000000,1,10,3125,208.0
2927,0.000000,11,12,3125,198.0
2939,0.000000,11,14,3125,186.0
2953,0.000000,1,4,3125,172.0
2957,0.000000,5,6,3125,168.0
2963,0.000000,11,6,3125,162.0
2969,0.000000,5,2,3125,156.0
2971,0.000000,7,28,3125,154.0
2999,0.000000,11,2,3125,126.0
3001,0.000000,1,10,3125,124.0
3011,0.000000,11,8,3125,114.0
3019,0.000000,7,4,3125,106.0
3023,0.000000,11,14,3125,102.0
3037,0.000000,1,4,3125,88.0
3041,0.000000,5,8,3125,84.0
3049,0.000000,1,12,3125,76.0
3061,0.000000,1,6,3125,64.0
3067,0.000000,7,12,3125,58.0
3079,0.000000,7,4,3125,46.0
3083,0.000000,11,6,3125,42.0
3089,0.000002,5,20,3125,36.0
491,0.012155,11,8,512,21.0
277,0.012165,1,4,256,21.0
709,0.018316,1,10,729,20.0
2381,0.018316,5,2,2401,20.0
3163,0.000001,7,4,3125,38.0
3167,0.000000,11,2,3125,42.0
3169,0.000000,1,12,3125,44.0
3181,0.000000,1,6,3125,56.0
3187,0.000000,7,4,3125,62.0
3191,0.000000,11,12,3125,66.0
3203,0.000000,11,6,3125,78.0
3209,0.000000,5,8,3125,84.0
3217,0.000000,1,4,3125,92.0
3221,0.000000,5,8,3125,96.0
3229,0.000000,1,22,3125,104.0
3251,0.000000,11,2,3125,126.0
3253,0.000000,1,4,3125,128.0
3257,0.000000,5,2,3125,132.0
3259,0.000000,7,12,3125,134.0
3271,0.000000,7,28,3125,146.0
3299,0.000000,11,2,3125,174.0
3301,0.000000,1,6,3125,176.0
3307,0.000000,7,6,3125,182.0
3313,0.000000,1,6,3125,188.0
3319,0.000000,7,4,3125,194.0
3323,0.000000,11,6,3125,198.0
3329,0.000000,5,2,3125,204.0
3331,0.000000,7,12,3125,206.0
3343,0.000000,7,4,3125,218.0
3347,0.000000,11,12,3125,222.0
3359,0.000000,11,2,3125,234.0
3361,0.000000,1,10,3125,236.0
3371,0.000000,11,2,3125,246.0
3373,0.000000,1,16,3125,248.0
3389,0.000000,5,2,3125,264.0
3391,0.000000,7,16,3125,266.0
3407,0.000000,11,6,3125,282.0
3413,0.000000,5,20,3125,288.0
3433,0.000000,1,16,3125,308.0
3449,0.000000,5,8,3125,324.0
3457,0.000000,1,4,3125,332.0
3461,0.000000,5,2,3125,336.0
3463,0.000000,7,4,3125,338.0
3467,0.000000,11,2,3125,342.0
3469,0.000000,1,22,3125,344.0
3491,0.000000,11,8,3125,366.0
3499,0.000000,7,12,3125,374.0
3511,0.000000,7,6,3125,386.0
3517,0.000000,1,10,3125,392.0
3527,0.000000,11,2,3125,402.0
3529,0.000000,1,4,3125,404.0
3533,0.000000,5,6,3125,408.0
3539,0.000000,11,2,3125,414.0
3541,0.000000,1,6,3125,416.0
3547,0.000000,7,10,3125,422.0
3557,0.000000,5,2,3125,432.0
3559,0.000000,7,12,3125,434.0
3571,0.000000,7,10,3125,446.0
3581,0.000000,5,2,3125,456.0
3583,0.000000,7,10,3125,458.0
3593,0.000000,5,14,3125,468.0
3607,0.000000,7,6,3125,482.0
3613,0.000000,1,4,3125,488.0
3617,0.000000,5,6,3125,492.0
3623,0.000000,11,8,3125,498.0
3631,0.000000,7,6,3125,506.0
3637,0.000000,1,6,3125,512.0
3643,0.000000,7,16,3125,518.0
3659,0.000000,11,12,3125,534.0
3671,0.000000,11,2,3125,546.0
3673,0.000000,1,4,3125,548.0
3677,0.000000,5,14,3125,552.0
3691,0.000000,7,6,3125,566.0
3697,0.000000,1,4,3125,572.0
3701,0.000000,5,8,3125,576.0
3709,0.000000,1,10,3125,584.0
